osmid,highway,name,impact_score,vulnerability,latitude,longitude
1090764407,trunk_link,,39.64344821903336,0.7928689643806672,29.949327100002858,78.1682870000077
1090764407,trunk_link,,68.9061195260317,1.3781223905206341,29.949327100002858,78.1682870000077
1090764409,trunk_link,,48.081249485716114,0.9616249897143223,29.9494128500025,78.16870940000715
1090764409,trunk_link,,36.65757830814729,0.7331515661629459,29.9494128500025,78.16870940000715
1090764408,trunk_link,,69.16858384353093,1.3833716768706186,29.950368754523172,78.16953381732539
"[1090764408, 1104608921, 1090764410, 1104608920]",trunk_link,,70.31960639935058,1.4063921279870115,29.950927024778252,78.1705804490207
227115259,unclassified,,52.64307104689148,1.0528614209378295,29.95080787859428,78.1692744888608
227115259,unclassified,,45.433759697861085,0.9086751939572217,29.950807878594293,78.1692744888608
227137760,residential,,74.324162713379,1.4864832542675799,29.95268265000202,78.1705001500044
227137760,residential,,45.07159663990766,0.9014319327981533,29.95268265000202,78.1705001500044
227137760,residential,,61.17122190837576,1.2234244381675152,29.951894739584954,78.17105857086553
227137760,residential,,37.76738699644097,0.7553477399288193,29.951894739584954,78.17105857086553
227137760,residential,,51.586837113257836,1.0317367422651567,29.952522397043545,78.17072509738905
227137760,residential,,44.26548601237241,0.8853097202474483,29.952522397043545,78.17072509738905
227115259,unclassified,,40.41216616361423,0.8082433232722847,29.95258690024654,78.17115949951283
227115259,unclassified,,64.76036050036171,1.2952072100072343,29.95258690024654,78.17115949951283
1068538450,residential,,37.68810747197537,0.7537621494395074,29.95288490161843,78.17095877087013
1068538450,residential,,69.08514275117999,1.3817028550235997,29.952884901618418,78.17095877087013
227115259,unclassified,,51.34411994397992,1.0268823988795983,29.952960250158494,78.17158129968678
227115259,unclassified,,62.965873002702935,1.2593174600540586,29.952960250158494,78.17158129968678
228175894,residential,,71.21919775153911,1.4243839550307822,29.953583294937793,78.16893936006589
228175894,residential,,31.509606962966075,0.6301921392593215,29.953583294937786,78.16893936006589
228175897,residential,,44.17022920128958,0.8834045840257916,29.95376799756481,78.16911748093199
228175897,residential,,70.49569624136187,1.4099139248272374,29.953767997564817,78.16911748093199
228175897,residential,,39.13110238230177,0.7826220476460354,29.95377600007031,78.16887200013315
228175897,residential,,34.56955886012173,0.6913911772024346,29.95377600007031,78.16887200013315
102689131,residential,,49.15639030509833,0.9831278061019666,29.954327482207216,78.16910655344246
102689131,residential,,63.5366072464903,1.270732144929806,29.95432748220721,78.16910655344246
102689131,residential,,40.76157898032467,0.8152315796064934,29.954958294289614,78.16966791370163
102689131,residential,,58.89044889575506,1.177808977915101,29.954958294289614,78.16966791370163
228175898,residential,,50.57826864884591,1.0115653729769183,29.954975912443015,78.16919179738746
228175898,residential,,46.681510003819085,0.9336302000763816,29.954975912443015,78.16919179738746
228175895,residential,,56.14250685071123,1.1228501370142245,29.955087755164424,78.16994107634056
228175895,residential,,48.412969759336484,0.9682593951867297,29.955087755164417,78.16994107634056
102689131,residential,,34.409130459888935,0.6881826091977787,29.95531638696206,78.16996514058788
102689131,residential,,57.4925151063276,1.149850302126552,29.95531638696206,78.16996514058788
228175893,residential,,67.88624426658099,1.3577248853316197,29.955441683760686,78.1702505016089
228175893,residential,,39.129390914462945,0.7825878182892589,29.955441683760686,78.1702505016089
102689131,residential,,33.565217786302775,0.6713043557260555,29.955538550007454,78.17015649997647
102689131,residential,,46.978697629194805,0.9395739525838961,29.955538550007454,78.17015649997647
1068538449,residential,,33.188244135814834,0.6637648827162967,29.95337900041162,78.17141655090761
1068538449,residential,,52.54157089012745,1.050831417802549,29.95337900041162,78.17141655090761
"[1090681056, 1090681059, 1328787509, 1328787510, 1090676278, 1107313177, 1107313178]",trunk,,71.47145800731285,1.429429160146257,29.953176108469055,78.17236081102466
227115259,unclassified,,44.25907555630209,0.8851815111260418,29.953654785298674,78.17197928011284
227115259,unclassified,,72.5478920092814,1.450957840185628,29.953654785298674,78.17197928011284
"[1090681057, 1090681058, 1090681063, 1090681064, 1328787507, 1328787508, 1090676277, 1107313175, 1107313176, 1090681053, 1090681054]",trunk,,62.26679252519952,1.2453358505039904,29.95493219272155,78.17323153227544
"[104663473, 104663468, 104692246]",tertiary,,55.90655176854153,1.1181310353708307,29.956736257232926,78.17909027494677
"[104663473, 104663468, 104692246]",tertiary,,63.81164370361414,1.2762328740722828,29.956736257232926,78.17909027494676
1107331092,residential,,36.020540100732745,0.7204108020146549,29.95878744335765,78.17132223123028
1107331092,residential,,72.89265708660034,1.4578531417320066,29.95878744335765,78.17132223123028
228175896,residential,,55.68528318453615,1.113705663690723,29.955597922926998,78.1703324161822
228175896,residential,,65.50456659628361,1.3100913319256722,29.955597922927005,78.1703324161822
112882546,tertiary,Old National Highway 58,26.21788034922353,0.5243576069844706,29.95556505921022,78.16922909793188
112882546,tertiary,Old National Highway 58,74.08545075654277,1.4817090151308554,29.95556505921022,78.16922909793188
228175893,residential,,34.52194122431135,0.690438824486227,29.955688047165772,78.16978547844305
228175893,residential,,33.01618907923192,0.6603237815846384,29.955688047165772,78.16978547844305
102689131,residential,,53.4878533696602,1.069757067393204,29.955828974912723,78.1703293282145
